1
34, 0.0325766 -0.136414 0.0823436   0.997373 0.00980708 -0.0717735 0.0098032  0.963406  0.267866  0.071774 -0.267865  0.960779
22,  0.024074 -0.068716 -0.565084 1 0 0 0 1 0 0 0 1
14,  0.024073  0.068711 -0.565084 1 0 0 0 1 0 0 0 1
1, 0 0 0 1 0 0 0 1 0 0 0 1
38, 0.0446723 -0.199818 -0.171695   0.997373 0.00980708 -0.0717735 0.0098032  0.963406  0.267866  0.071774 -0.267865  0.960779
8,        0   0.0681 -0.15035 1 0 0 0 1 0 0 0 1
0, 0 0 0 1 0 0 0 1 0 0 0 1
26, 0.0325714  0.136407 0.0824277    0.997373 -0.00980701  -0.0717729 -0.00980313    0.963406   -0.267866 0.0717735  0.267866  0.960779
11, 0.001823 0.070208  -0.4506 1 0 0 0 1 0 0 0 1
10, 0.001441 0.068489 -0.27933 1 0 0 0 1 0 0 0 1
5, 0.007808        0   0.2348 1 0 0 0 1 0 0 0 1
30, 0.0446701  0.199817 -0.171695    0.997373 -0.00980701  -0.0717729 -0.00980313    0.963406   -0.267866 0.0717735  0.267866  0.960779
24, 0.00590647   0.116417   0.159377    0.997373 -0.00980701  -0.0717729 -0.00980313    0.963406   -0.267866 0.0717735  0.267866  0.960779
28,  0.0216637   0.169111 -0.0346676    0.997373 -0.00980701  -0.0717729 -0.00980313    0.963406   -0.267866 0.0717735  0.267866  0.960779
32, 0.00586039  -0.116242   0.159325   0.997373 0.00980708 -0.0717735 0.0098032  0.963406  0.267866  0.071774 -0.267865  0.960779
16,        0  -0.0681 -0.15035 1 0 0 0 1 0 0 0 1
18,  0.001441 -0.068491  -0.27933 1 0 0 0 1 0 0 0 1
36,  0.0216658  -0.169111 -0.0346675   0.997373 0.00980708 -0.0717735 0.0098032  0.963406  0.267866  0.071774 -0.267865  0.960779
3, 0.007728        0    0.107 1 0 0 0 1 0 0 0 1
6, -0.010694    -1e-06    0.3456 1 0 0 0 1 0 0 0 1
19,  0.001823 -0.070212   -0.4506 1 0 0 0 1 0 0 0 1
Collided: 34 1

3
34, 0.0325766 -0.136414 0.0823436   0.997373 0.00980708 -0.0717735 0.0098032  0.963406  0.267866  0.071774 -0.267865  0.960779
22,  0.024074 -0.068716 -0.565084 1 0 0 0 1 0 0 0 1
14,  0.024073  0.068711 -0.565084 1 0 0 0 1 0 0 0 1
1, 0 0 0 1 0 0 0 1 0 0 0 1
38, 0.0446723 -0.199818 -0.171695   0.997373 0.00980708 -0.0717735 0.0098032  0.963406  0.267866  0.071774 -0.267865  0.960779
8,        0   0.0681 -0.15035 1 0 0 0 1 0 0 0 1
0, 0 0 0 1 0 0 0 1 0 0 0 1
26, 0.0325714  0.136407 0.0824277    0.997373 -0.00980701  -0.0717729 -0.00980313    0.963406   -0.267866 0.0717735  0.267866  0.960779
11, 0.001823 0.070208  -0.4506 1 0 0 0 1 0 0 0 1
10, 0.001441 0.068489 -0.27933 1 0 0 0 1 0 0 0 1
5, 0.007808        0   0.2348 1 0 0 0 1 0 0 0 1
30, 0.0446701  0.199817 -0.171695    0.997373 -0.00980701  -0.0717729 -0.00980313    0.963406   -0.267866 0.0717735  0.267866  0.960779
24, 0.00590647   0.116417   0.159377    0.997373 -0.00980701  -0.0717729 -0.00980313    0.963406   -0.267866 0.0717735  0.267866  0.960779
28,  0.0216637   0.169111 -0.0346676    0.997373 -0.00980701  -0.0717729 -0.00980313    0.963406   -0.267866 0.0717735  0.267866  0.960779
32, 0.00586039  -0.116242   0.159325   0.997373 0.00980708 -0.0717735 0.0098032  0.963406  0.267866  0.071774 -0.267865  0.960779
16,        0  -0.0681 -0.15035 1 0 0 0 1 0 0 0 1
18,  0.001441 -0.068491  -0.27933 1 0 0 0 1 0 0 0 1
36,  0.0216658  -0.169111 -0.0346675   0.997373 0.00980708 -0.0717735 0.0098032  0.963406  0.267866  0.071774 -0.267865  0.960779
3, 0.007728        0    0.107 1 0 0 0 1 0 0 0 1
6, -0.010694    -1e-06    0.3456 1 0 0 0 1 0 0 0 1
19,  0.001823 -0.070212   -0.4506 1 0 0 0 1 0 0 0 1
Collided: 34 1

5
34, 0.0325766 -0.136414 0.0823436   0.997373 0.00980708 -0.0717735 0.0098032  0.963406  0.267866  0.071774 -0.267865  0.960779
22,  0.024074 -0.068716 -0.565084 1 0 0 0 1 0 0 0 1
14,  0.024073  0.068711 -0.565084 1 0 0 0 1 0 0 0 1
1, 0 0 0 1 0 0 0 1 0 0 0 1
38, 0.0446723 -0.199818 -0.171695   0.997373 0.00980708 -0.0717735 0.0098032  0.963406  0.267866  0.071774 -0.267865  0.960779
8,        0   0.0681 -0.15035 1 0 0 0 1 0 0 0 1
0, 0 0 0 1 0 0 0 1 0 0 0 1
26, 0.0325714  0.136407 0.0824277    0.997373 -0.00980701  -0.0717729 -0.00980313    0.963406   -0.267866 0.0717735  0.267866  0.960779
11, 0.001823 0.070208  -0.4506 1 0 0 0 1 0 0 0 1
10, 0.001441 0.068489 -0.27933 1 0 0 0 1 0 0 0 1
5, 0.007808        0   0.2348 1 0 0 0 1 0 0 0 1
30, 0.0446701  0.199817 -0.171695    0.997373 -0.00980701  -0.0717729 -0.00980313    0.963406   -0.267866 0.0717735  0.267866  0.960779
24, 0.00590647   0.116417   0.159377    0.997373 -0.00980701  -0.0717729 -0.00980313    0.963406   -0.267866 0.0717735  0.267866  0.960779
28,  0.0216637   0.169111 -0.0346676    0.997373 -0.00980701  -0.0717729 -0.00980313    0.963406   -0.267866 0.0717735  0.267866  0.960779
32, 0.00586039  -0.116242   0.159325   0.997373 0.00980708 -0.0717735 0.0098032  0.963406  0.267866  0.071774 -0.267865  0.960779
16,        0  -0.0681 -0.15035 1 0 0 0 1 0 0 0 1
18,  0.001441 -0.068491  -0.27933 1 0 0 0 1 0 0 0 1
36,  0.0216658  -0.169111 -0.0346675   0.997373 0.00980708 -0.0717735 0.0098032  0.963406  0.267866  0.071774 -0.267865  0.960779
3, 0.007728        0    0.107 1 0 0 0 1 0 0 0 1
6, -0.010694    -1e-06    0.3456 1 0 0 0 1 0 0 0 1
19,  0.001823 -0.070212   -0.4506 1 0 0 0 1 0 0 0 1
Collided: 34 1

7
34, 0.0325766 -0.136414 0.0823436   0.997373 0.00980708 -0.0717735 0.0098032  0.963406  0.267866  0.071774 -0.267865  0.960779
22,  0.024074 -0.068716 -0.565084 1 0 0 0 1 0 0 0 1
14,  0.024073  0.068711 -0.565084 1 0 0 0 1 0 0 0 1
1, 0 0 0 1 0 0 0 1 0 0 0 1
38, 0.0446723 -0.199818 -0.171695   0.997373 0.00980708 -0.0717735 0.0098032  0.963406  0.267866  0.071774 -0.267865  0.960779
8,        0   0.0681 -0.15035 1 0 0 0 1 0 0 0 1
0, 0 0 0 1 0 0 0 1 0 0 0 1
26, 0.0325714  0.136407 0.0824277    0.997373 -0.00980701  -0.0717729 -0.00980313    0.963406   -0.267866 0.0717735  0.267866  0.960779
11, 0.001823 0.070208  -0.4506 1 0 0 0 1 0 0 0 1
10, 0.001441 0.068489 -0.27933 1 0 0 0 1 0 0 0 1
5, 0.007808        0   0.2348 1 0 0 0 1 0 0 0 1
